Date,SPY,GM,F,TSLA
2020-06-30,308.3599853515625,25.29999923706055,6.079999923706055,1079.81005859375
2020-07-01,310.5199890136719,24.959999084472656,5.980000019073486,1119.6300048828123
2020-07-02,312.2300109863281,25.239999771118164,6.050000190734862,1208.6600341796875
2020-07-06,317.04998779296875,25.729999542236328,6.190000057220459,1371.5799560546875
2020-07-07,313.7799987792969,25.1299991607666,6.119999885559082,1389.8599853515625
2020-07-08,316.17999267578125,24.940000534057614,6.0900001525878915,1365.8800048828125
2020-07-09,314.3800048828125,23.420000076293945,5.8400001525878915,1394.280029296875
2020-07-10,317.5899963378906,24.38999938964844,6.0999999046325675,1544.6500244140625
2020-07-13,314.8399963378906,24.86000061035156,6.059999942779541,1497.06005859375
2020-07-14,318.9200134277344,25.63999938964844,6.360000133514403,1516.800048828125
2020-07-15,321.8500061035156,26.8799991607666,6.739999771118164,1546.010009765625
2020-07-16,320.7900085449219,26.85000038146973,6.860000133514403,1500.6400146484375
2020-07-17,321.7200012207031,26.45000076293945,6.800000190734862,1500.8399658203125
2020-07-20,324.32000732421875,26.01000022888184,6.6599998474121085,1643.0
2020-07-21,325.010009765625,26.149999618530273,6.679999828338622,1568.3599853515625
2020-07-22,326.8599853515625,26.29999923706055,6.8400001525878915,1592.3299560546875
2020-07-23,322.9599914550781,26.76000022888184,6.980000019073486,1513.0699462890625
2020-07-24,320.8800048828125,26.25,6.880000114440918,1417.0
2020-07-27,323.2200012207031,25.70000076293945,6.929999828338622,1539.5999755859375
2020-07-28,321.1700134277344,26.32999992370605,7.010000228881836,1476.489990234375
2020-07-29,325.1199951171875,25.88999938964844,6.920000076293945,1499.1099853515625
2020-07-30,323.9599914550781,25.20000076293945,6.739999771118164,1487.489990234375
